dict_matched_filtered_words,sentence,cleaned_sentence,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
been,"Insert a straw | b Enews coensst need | ears ten Neng nou alee bare Anema Neve
straw-like mouth parts that help _| in the pace and suck
i

= Identity he natonal enema of | been on the Lath even before the appearance of human bewwps.",Insert a straw  b Enews coensst need  ears ten Neng nou alee bare Anema Neve strawlike mouth parts that help  in the pace and suck i   Identity he natonal enema of  been on the Lath even before the appearance of human bewwps,identity he natonal enema of been on the lath even,Identity he natonal enema of **** on the lath even,,,,
experiential,"Our Environment 140
Environment
Learning by Doing: Cross-curricular Project-1 Saga
(Animal Diaries) :
Learning by Doing: Cross-curricular Project-2 Ase 13
(Water: A Precious Treasure) :
Project-based Learning (Bring Back House Sparrows)
Assessment: Model Test Paper-1 152-154
Assessment: Model Test Paper-2 155-1517)
r

360-degree Holistic Progress Card (Comprehensive) 158-160



Page nummber: 3
LEARNING OUTCOMES

WARM-UP

interactive tasks to
engage learners ee

ACTIVITY

to aid in
experiential
learning

significant learning outcomes
that the learners will achieve
on completion of the lesson

Living Things Move o
| eran
; \Y/ eontiome
!",Our Environment 140 Environment Learning by Doing Crosscurricular Project1 Saga Animal Diaries  Learning by Doing Crosscurricular Project2 Ase 13 Water A Precious Treasure  Projectbased Learning Bring Back House Sparrows Assessment Model Test Paper1 152154 Assessment Model Test Paper2 1551517 r  360degree Holistic Progress Card Comprehensive 158160    Page nummber 3 LEARNING OUTCOMES  WARMUP  interactive tasks to engage learners ee  ACTIVITY  to aid in experiential learning  significant learning outcomes that the learners will achieve on completion of the lesson  Living Things Move o  eran  Y eontiome ,ee activity to aid in experiential learning significant learning outcomes,Ee activity to aid in ************ learning significant learning outcomes,,,,
let,"Let us learn about the human body, its parts and their functions.",Let us learn about the human body its parts and their functions,let us learn about the,*** us learn about the,,,,
house,"Our Environment 140
Environment
Learning by Doing: Cross-curricular Project-1 Saga
(Animal Diaries) :
Learning by Doing: Cross-curricular Project-2 Ase 13
(Water: A Precious Treasure) :
Project-based Learning (Bring Back House Sparrows)
Assessment: Model Test Paper-1 152-154
Assessment: Model Test Paper-2 155-1517)
r

360-degree Holistic Progress Card (Comprehensive) 158-160



Page nummber: 3
LEARNING OUTCOMES

WARM-UP

interactive tasks to
engage learners ee

ACTIVITY

to aid in
experiential
learning

significant learning outcomes
that the learners will achieve
on completion of the lesson

Living Things Move o
| eran
; \Y/ eontiome
!",Our Environment 140 Environment Learning by Doing Crosscurricular Project1 Saga Animal Diaries  Learning by Doing Crosscurricular Project2 Ase 13 Water A Precious Treasure  Projectbased Learning Bring Back House Sparrows Assessment Model Test Paper1 152154 Assessment Model Test Paper2 1551517 r  360degree Holistic Progress Card Comprehensive 158160    Page nummber 3 LEARNING OUTCOMES  WARMUP  interactive tasks to engage learners ee  ACTIVITY  to aid in experiential learning  significant learning outcomes that the learners will achieve on completion of the lesson  Living Things Move o  eran  Y eontiome ,treasure projectbased learning bring back house sparrows assessment model test,Treasure projectbased learning bring back ***** sparrows assessment model test,,,,
which,"Altura is hosted on MEE (Macmillan Education Everywhere), a Learning Management System (LMS) that
offers Schools a platform which they can easily adapt to.",Altura is hosted on MEE Macmillan Education Everywhere a Learning Management System LMS that offers Schools a platform which they can easily adapt to,that offers schools a platform which they can easily adapt,That offers schools a platform ***** they can easily adapt,,,,
blowing,Inflate a balloon by blowing air into it.,Inflate a balloon by blowing air into it,inflate a balloon by blowing air into it,Inflate a balloon by ******* air into it,,,,
leam,"Name the parts of a leaf + HOTS
©-6.2 Presents observations and findings through different creative modes + Leam about venation | |
+ Know the functions of a seed |
oe te ce | Do it yourself: Border design
fos fal Observes | and identifies the natural components in the environment * Food of animals |+ Analyse ones breakfast + Explainhow | + Choose the words to fill in the
C-1.5 Uses talien leaves to create leaf art and ways of + Read and answer the questions some animals | _ blanks
C41 Observes and desoribes diversity among animals in the environment eating + Unscramble the letters | suck their |* Choose the correct option
+ Picture-based task on omnivores food + Read and correct the errors
+ Picture-based task on the different © Think and weit
ways by which animals eat food | ae Le 
+ Infer biting as the first action of eating food | spa) quesaops
Do it yourself: Leaf art [i
C-1.1 Observes and identifies birds in the environment * Body parts * Draw/Paste a picture of a bird |+ Talk about a \+ True or false
C-3.1_ Desoribes the basic safety needs and protection of birds * How do birds fly?",Name the parts of a leaf  HOTS 62 Presents observations and findings through different creative modes  Leam about venation    Know the functions of a seed  oe te ce  Do it yourself Border design fos fal Observes  and identifies the natural components in the environment  Food of animals  Analyse ones breakfast  Explainhow   Choose the words to fill in the C15 Uses talien leaves to create leaf art and ways of  Read and answer the questions some animals   blanks C41 Observes and desoribes diversity among animals in the environment eating  Unscramble the letters  suck their  Choose the correct option  Picturebased task on omnivores food  Read and correct the errors  Picturebased task on the different  Think and weit ways by which animals eat food  ae Le   Infer biting as the first action of eating food  spa quesaops Do it yourself Leaf art i C11 Observes and identifies birds in the environment  Body parts  DrawPaste a picture of a bird  Talk about a  True or false C31 Desoribes the basic safety needs and protection of birds  How do birds fly,findings through different creative modes leam about venation know the,Findings through different creative modes **** about venation know the,,,,
wite,"Mab lela  pening + Infer that warm air is lighter and rises up 5 Seth the following
\CG-4| er : aks ean of water + Wite Yes or No
en 06-4) * Saving water evalabie worse + Comprehension questions
+ Understand ways of saving water + HOTS
: } Do it yourself: Storing water Virtual tour: Water cycle E-
| UNIT VI C-1.1 Observes and identifies the natural components In the environment lo Components + Draw and colour a scenery + Explain + Fill in the blanks
142.",Mab lela  pening  Infer that warm air is lighter and rises up 5 Seth the following CG4 er  aks ean of water  Wite Yes or No en 064  Saving water evalabie worse  Comprehension questions  Understand ways of saving water  HOTS   Do it yourself Storing water Virtual tour Water cycle E  UNIT VI C11 Observes and identifies the natural components In the environment lo Components  Draw and colour a scenery  Explain  Fill in the blanks 142,er aks ean of water wite yes or no en,Er aks ean of water **** yes or no en,,,,
sparrow,"11> , Mint Century Skla/
UM obisb iil ah ey )®aj continuous and igahne G veo rres
\ i it 5 + Colaborssoe Rls advisable that ©
4 , | i] | |comprehensive cpm Stcasanrerectanmress
| 4 ; STAT assessments in the Wictagtedlaes 1) gi ORIN
BY a ay | 3 + Information Laeracy | Background knowledge
i I UARrAnrae| UM ARTUR cognitive, affective and Becevcoind
if i U J 4 : = Media Literacy The house sparrow is a small brown-coloured bird wath
i psychomotor domains to come tac eras ont bec th bow hr

seeds, bul in the breeding season, adits feed thelr young
+ Language + Exgorerng ones with Insects.",11  Mint Century Skla UM obisb iil ah ey aj continuous and igahne G veo rres  i it 5  Colaborssoe Rls advisable that  4   i  comprehensive cpm Stcasanrerectanmress  4  STAT assessments in the Wictagtedlaes 1 gi ORIN BY a ay  3  Information Laeracy  Background knowledge i I UARrAnrae UM ARTUR cognitive affective and Becevcoind if i U J 4   Media Literacy The house sparrow is a small browncoloured bird wath i psychomotor domains to come tac eras ont bec th bow hr  seeds bul in the breeding season adits feed thelr young  Language  Exgorerng ones with Insects,4 media literacy the house sparrow is a small browncoloured,4 media literacy the house ******* is a small browncoloured,,,,
thing,"The skeletal system

What is the first thing that we will make if
we want to make a toy horse?",The skeletal system  What is the first thing that we will make if we want to make a toy horse,system what is the first thing that we will make,System what is the first ***** that we will make,,,,
