word,word_type,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
edible,3_science_LS2,we get edible oils from their seeds,We get ****** oils from their seeds,it's much too explosive for small edible game .,It's much too explosive for small ****** game ., Apples are edible fruits., apples are ****** fruits.
them,3_science_LS2,of the vitamins present in them are lost,Of the vitamins present in **** are lost,It recommended that Fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving them '' .,It recommended that fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving **** '' .,Give them the cookies.,Give **** the cookies.
role,3_science_LS2,explain the role of nutrients,Explain the **** of nutrients,This was disclosed today by a responsible source amid intensified efforts by the Soviet Union to gain a greater role in the staff and operation of the United Nations .,This was disclosed today by a responsible source amid intensified efforts by the soviet union to gain a greater **** in the staff and operation of the united nations .,She played the role of a nurse.,She played the **** of a nurse.
by,3_science_LS2,twice the amount of iven by carbohydrates,Twice the amount of iven ** carbohydrates,The September-October term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate Ivan Allen Jr. .,The september-october term jury had been charged ** fulton superior court judge durwood pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won ** mayor-nominate ivan allen jr. .,The park is by my house.,The park is ** my house.
know,3_science_LS2,solve the clues to know the nutrient,Solve the clues to **** the nutrient,"Speaking of the present status of civil defense in the city , Mr. Hawksley said he would be willing to bet that not more than one person in a hundred would know what to do or where to go in the event of an enemy attack .","Speaking of the present status of civil defense in the city , mr. hawksley said he would be willing to bet that not more than one person in a hundred would **** what to do or where to go in the event of an enemy attack .",Do you know how to swim?,Do you **** how to swim?
we,3_science_LS2,nummber 1 2 the food we eat lesson schema pss,Nummber 1 2 the food ** eat lesson schema pss,"Nevertheless , `` we feel that in the future Fulton County should receive some portion of these available funds '' , the jurors said .","Nevertheless , `` ** feel that in the future fulton county should receive some portion of these available funds '' , the jurors said .",We play at recess.,** play at recess.
audit,3_science_LS2,j2 1st centu satlls food audit think about the food,J2 1st centu satlls food ***** think about the food,They have a great advantage in ease of audit time and payment .,They have a great advantage in ease of ***** time and payment ., Dad went to an audit at work., dad went to an ***** at work.
it,3_science_LS2,et cn mae eats sry it ee ie a 4,Et cn mae eats sry ** ee ie a 4,The jury said it did find that many of Georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,The jury said ** did find that many of georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,It is raining outside.,** is raining outside.
protective,3_science_LS2,vitamins and minerals are called protective foods,Vitamins and minerals are called ********** foods,Community esprit de corps has been the protective shell which has made the achievement possible .,Community esprit de corps has been the ********** shell which has made the achievement possible .,Wear protective gloves when it's cold.,Wear ********** gloves when it's cold.
energy,3_science_LS2,our bodies need energy to work and carry,Our bodies need ****** to work and carry,There certainly was not any more energy displayed after it was clear the United States would not back the pro-Western government to the hilt .,There certainly was not any more ****** displayed after it was clear the united states would not back the pro-western government to the hilt .,Running uses a lot of energy.,Running uses a lot of ******.
different,3_science_LS2,the amount of nutrients is different in different types of,The amount of nutrients is ********* in ********* types of,"The secretary's greatest achievement is perhaps the rekindling of NATO realization that East-West friction , wherever it take place around the globe , is in essence the general conflict between two entirely different societies , and must be treated as such without regard to geographical distance or lack of apparent connection .","The secretary's greatest achievement is perhaps the rekindling of nato realization that east-west friction , wherever it take place around the globe , is in essence the general conflict between two entirely ********* societies , and must be treated as such without regard to geographical distance or lack of apparent connection .",We all have different favorite colors.,We all have ********* favorite colors.
